Breeding line,Yield
SWW11155B001_3,6.6
SWW11155B002_3,7.26
SWW11155B003_3,8.38
SWW11155B004_3,9.19
SWW11157B001T_3,9.04
SWW11157B002T_3,9.93
SWW11157B003_3,9.56
SWW11157B004_3,8.38
SWW11157B005_3,8.6
SWW11158B001T_3,9.04
SWW11158B002_3,7.93
SWW11158B003_3,8.3
SWW11159B001_3,7.64
SWW11159B002_3,7.78
SWW11159B003U_3,7.41
SWW11166B001U_3,9.41
SWW11166B002U_3,7.93
SWW11166B003_3,8.75
SWW11166B004_3,8.45
SWW11166B005_3,8.82
SWW11166B006_3,9.41
SWW11166B007_3,8.9
SWW11166B008_3,8.67
SWW11166B009_3,8.3
SWW11184B001_3,8.3
SWW11184B002_3,7.71
SWW11184B003_3,7.34
SWW11184B004_3,6.82
SWW11184B005_3,6.67
SWW11187B001_3,7.12
SWW11187B002_3,8.38
SWW11187B003_3,8.23
SWW11188B001_3,7.19
SWW11188B002U_3,8.9
SWW11188B003_3,8.01
SWW11191B001UT_3,7.56
SWW11191B002U_3,6.75
SWW11191B003_3,7.64
SWW11191B004U_3,7.86
SWW11191B005_3,8.08
SWW11192B0010_3,8.52
SWW11192B0011_3,9.71
SWW11192B0012_3,5.34
SWW11192B0013_3,10.75
SWW11192B001U_3,7.56
SWW11192B002_3,7.19
SWW11192B003_3,8.08
SWW11192B004_3,8.3
SWW11192B005_3,8.75
SWW11192B006_3,8.45
SWW11192B007_3,8.6
SWW11192B008_3,8.23
SWW11192B009U_3,8.01
SWW11195B001_3,8.52
SWW11195B002_3,8.45
SWW11196B001_3,10.23
SWW11197B001_3,9.19
SWW11199B001U_3,9.49
SWW11205B001_3,9.19
SWW11205B002_3,8.97
SWW11214B001_3,10.08
SWW11214B002_3,9.49
SWW11214B003U_3,9.64
SWW11214B004U_3,10.01
SWW11214B005U_3,9.86
SWW11214B006_3,10.38
SWW11214B007_3,10.01
SWW11221B001_3,8.38
SWW11221B002_3,9.19
SWW11221B003U_3,8.08
SWW11221B004_3,8.97
SWW11221B005_3,9.49
SWW11221B006_3,8.15
SWW11222B001_3,8.15
SWW11222B002U_3,7.93
SWW11222B003UT_3,9.19
SWW11222B004_3,7.78
SWW11225B001_3,9.04
SWW11225B002_3,9.41
SWW11227B001_3,8.97
SWW11227B002T_3,9.71
SWW11227B003T_3,10.08
SWW11227B004_3,8.75
SWW11229B001U_3,9.64
SWW11229B002_3,8.9
SWW11229B003T_3,9.04
SWW11229B004T_3,9.27
SWW11229B005_3,7.86
SWW11230B001T_3,8.38
SWW11230B002_3,8.15
SWW11230B003_3,7.41
SWW11230B004_3,8.97
SWW11230B005_3,8.01
SWW11230B006_3,10.23
SWW11230B007_3,8.67
SWW11230B008_3,8.01
SWW11236B001T_3,8.38
SWW11236B002_3,8.97
SWW11236B003T_3,7.64
SWW11268B001_3,7.56
SWW11268B002_3,7.49
SWW11336B001_3,8.6
SWW11349B001_3,7.64
SWW11349B002_3,7.49
SWW14206DH10_4,8.52
SWW14206DH150_4,7.64
SWW14206DH200_4,8.97
SWW14206DH250_4,9.34
SWW14206DH40_4,8.6
SWW14206DH50_4,9.34
SWW14207DH120_4,10.53
SWW14207DH330_4,6.67
SWW14207DH440_4,7.78
SWW14207DH490_4,4.23
SWW14215DH240_4,7.19
SWW14215DH30_4,6.23
SWW14215DH70_4,9.34
SWW14216DH70_4,11.05
SWW14217DH260_4,10.08
SWW14251DH130_4,4.3
SWW14251DH170_4,7.78
SWW14251DH20_4,9.79
SWW14251DH230_4,9.56
SWW14251DH240_4,10.08
SWW14251DH270_4,7.19
SWW14251DH280_4,10.75
SWW14251DH290_4,4.97
SWW14251DH30_4,3.19
SWW14251DH300_4,10.53
SWW14251DH310_4,11.42
SWW14251DH330_4,9.56
SWW14251DH360_4,12.23
SWW14251DH370_4,11.71
SWW14251DH40_4,6.15
SWW14251DH60_4,8.01
SWW14251DH80_4,9.56
SWW14254DH110_4,11.79
SWW14254DH150_4,10.67
SWW14254DH180_4,11.79
SWW14254DH200_4,8.23
SWW14254DH240_4,12.23
SWW14254DH250_4,13.42
SWW14254DH270_4,11.93
SWW14254DH360_4,11.12
SWW14254DH380_4,5.49
SWW14254DH40_4,9.27
SWW14254DH70_4,9.49
SWW14254DH80_4,12.08
SWW14254DH90_4,10.45
SWW14256DH10_4,11.12
SWW14256DH120_4,12.75
SWW14256DH150_4,12.08
SWW14256DH160_4,10.6
SWW14256DH170_4,7.71
SWW14256DH230_4,10.67
SWW14256DH240_4,7.12
SWW14256DH250_4,12.08
SWW14256DH260_4,11.64
SWW14256DH290_4,10.3
SWW14256DH300_4,4.3
SWW14256DH310_4,11.86
SWW14256DH330_4,9.49
SWW14256DH360_4,10.6
SWW14256DH390_4,9.34
SWW14256DH470_4,8.82
SWW14256DH480_4,9.12
SWW14256DH490_4,10.08
SWW14256DH530_4,9.27
SWW14256DH550_4,9.56
SWW14256DH70_4,5.34
SWW14256DH90_4,10.53
SWW14257DH120_4,10.75
SWW14257DH150_4,7.04
SWW14257DH200_4,10.67
SWW14257DH60_4,11.27
SWW14258DH110_4,7.26
SWW14258DH150_4,6.82
SWW14258DH160_4,10.53
SWW14258DH170_4,10.08
SWW14258DH180_4,11.79
SWW14258DH230_4,10.6
SWW14258DH260_4,12.08
SWW14258DH30_4,8.52
SWW14258DH310_4,9.34
SWW14258DH390_4,8.23
SWW14258DH400_4,9.41
SWW14258DH70_4,8.97
SWW14296DH10_4,10.9
SWW14296DH1000_4,9.79
SWW14296DH1060_4,9.93
SWW14296DH110_4,9.49
SWW14296DH120_4,11.64
SWW14296DH130_4,11.42
SWW14296DH140_4,8.23
SWW14296DH150_4,8.82
SWW14296DH160_4,10.6
SWW14296DH170_4,8.9
SWW14296DH190_4,9.71
SWW14296DH20_4,9.12
SWW14296DH200_4,8.67
SWW14296DH210_4,8.23
SWW14296DH220_4,11.05
SWW14296DH230_4,6.75
SWW14296DH240_4,5.93
SWW14296DH270_4,10.82
SWW14296DH30_4,7.19
SWW14296DH320_4,8.45
SWW14296DH330_4,10.75
SWW14296DH360_4,10.82
SWW14296DH390_4,10.67
SWW14296DH40_4,10.97
SWW14296DH400_4,9.49
SWW14296DH420_4,9.79
SWW14296DH430_4,11.12
SWW14296DH440_4,10.01
SWW14296DH450_4,11.12
SWW14296DH460_4,11.34
SWW14296DH470_4,11.56
SWW14296DH490_4,13.27
SWW14296DH50_4,9.71
SWW14296DH500_4,10.82
SWW14296DH510_4,9.27
SWW14296DH520_4,11.42
SWW14296DH530_4,11.64
SWW14296DH540_4,11.27
SWW14296DH550_4,9.79
SWW14296DH560_4,10.97
SWW14296DH580_4,9.64
SWW14296DH590_4,11.56
SWW14296DH60_4,9.86
SWW14296DH600_4,12.68
SWW14296DH630_4,12.97
SWW14296DH650_4,11.56
SWW14296DH660_4,9.79
SWW14296DH670_4,9.49
SWW14296DH680_4,9.56
SWW14296DH70_4,7.26
SWW14296DH710_4,12.53
SWW14296DH720_4,11.19
SWW14296DH730_4,11.05
SWW14296DH750_4,10.9
SWW14296DH760_4,8.38
SWW14296DH770_4,11.71
SWW14296DH780_4,10.75
SWW14296DH790_4,10.9
SWW14296DH800_4,8.67
SWW14296DH820_4,9.71
SWW14296DH830_4,11.56
SWW14296DH840_4,9.27
SWW14296DH850_4,11.34
SWW14296DH860_4,11.86
SWW14296DH870_4,10.82
SWW14296DH880_4,10.38
SWW14296DH890_4,5.49
SWW14296DH90_4,10.9
SWW14296DH900_4,10.45
SWW14296DH920_4,11.42
SWW14296DH930_4,10.01
SWW14296DH940_4,10.38
SWW14296DH950_4,11.64
SWW14296DH960_4,10.01
SWW14299DH100_4,10.45
SWW14299DH1000_4,10.82
SWW14299DH1010_4,10.23
SWW14299DH1020_4,11.56
SWW14299DH1030_4,9.41
SWW14299DH1040_4,6.67
SWW14299DH1050_4,9.41
SWW14299DH1060_4,11.49
SWW14299DH110_4,10.38
SWW14299DH1130_4,10.45
SWW14299DH1140_4,10.45
SWW14299DH1150_4,9.79
SWW14299DH1180_4,7.49
SWW14299DH1190_4,9.34
SWW14299DH120_4,9.79
SWW14299DH1200_4,7.93
SWW14299DH1210_4,9.49
SWW14299DH1230_4,10.16
SWW14299DH1240_4,9.93
SWW14299DH1260_4,5.34
SWW14299DH1270_4,8.97
SWW14299DH1280_4,6.23
SWW14299DH1290_4,10.16
SWW14299DH130_4,10.16
SWW14299DH1300_4,9.86
SWW14299DH1310_4,9.86
SWW14299DH1320_4,11.64
SWW14299DH1330_4,11.12
SWW14299DH1370_4,5.19
SWW14299DH1380_4,9.27
SWW14299DH140_4,10.16
SWW14299DH1410_4,6.75
SWW14299DH1420_4,11.19
SWW14299DH1450_4,6.08
SWW14299DH1490_4,9.79
SWW14299DH150_4,9.86
SWW14299DH1500_4,6.97
SWW14299DH1550_4,9.04
SWW14299DH1560_4,9.12
SWW14299DH1570_4,11.42
SWW14299DH1580_4,9.41
SWW14299DH1590_4,8.75
SWW14299DH160_4,9.19
SWW14299DH1610_4,6.38
SWW14299DH1650_4,7.26
SWW14299DH170_4,7.56
SWW14299DH180_4,6.97
SWW14299DH20_4,8.15
SWW14299DH200_4,6.75
SWW14299DH210_4,11.12
SWW14299DH220_4,9.04
SWW14299DH240_4,10.3
SWW14299DH260_4,10.01
SWW14299DH270_4,9.19
SWW14299DH280_4,11.93
SWW14299DH290_4,9.86
SWW14299DH300_4,9.34
SWW14299DH310_4,10.45
SWW14299DH330_4,8.38
SWW14299DH340_4,9.71
SWW14299DH350_4,7.64
SWW14299DH360_4,10.6
SWW14299DH40_4,8.08
SWW14299DH400_4,9.49
SWW14299DH410_4,9.27
SWW14299DH420_4,10.16
SWW14299DH440_4,9.86
SWW14299DH450_4,11.64
SWW14299DH460_4,5.86
SWW14299DH470_4,9.71
SWW14299DH480_4,9.79
SWW14299DH490_4,10.67
SWW14299DH50_4,9.64
SWW14299DH500_4,11.12
SWW14299DH510_4,7.26
SWW14299DH520_4,9.49
SWW14299DH530_4,9.86
SWW14299DH540_4,11.12
SWW14299DH550_4,11.34
SWW14299DH560_4,10.45
SWW14299DH570_4,9.41
SWW14299DH580_4,12.08
SWW14299DH590_4,8.45
SWW14299DH60_4,7.49
SWW14299DH600_4,12.16
SWW14299DH610_4,7.78
SWW14299DH620_4,10.3
SWW14299DH630_4,9.64
SWW14299DH640_4,9.04
SWW14299DH660_4,11.56
SWW14299DH700_4,11.71
SWW14299DH720_4,11.86
SWW14299DH730_4,11.56
SWW14299DH740_4,11.79
SWW14299DH750_4,10.97
SWW14299DH760_4,4.89
SWW14299DH780_4,10.97
SWW14299DH80_4,9.41
SWW14299DH820_4,8.01
SWW14299DH850_4,9.56
SWW14299DH860_4,9.71
SWW14299DH870_4,7.12
SWW14299DH880_4,6.82
SWW14299DH890_4,6
SWW14299DH90_4,5.56
SWW14299DH900_4,10.6
SWW14299DH910_4,11.42
SWW14299DH920_4,10.01
SWW14299DH930_4,12.45
SWW14299DH950_4,10.9
SWW14299DH960_4,9.64
SWW14299DH970_4,9.71
SWW14300DH10_4,10.45
SWW14300DH30_4,11.56
SWW14303DH10_4,11.64
SWW14303DH170_4,9.04
SWW14303DH210_4,8.08
SWW14303DH240_4,10.75
SWW14303DH260_4,10.38
SWW14303DH330_4,10.3
SWW14303DH50_4,10.45
SWW14303DH70_4,10.16
SWW14303DH80_4,11.05
SWW14306DH1000_4,9.86
SWW14306DH1010_4,10.01
SWW14306DH140_4,11.71
SWW14306DH160_4,11.42
SWW14306DH200_4,10.45
SWW14306DH220_4,10.53
SWW14306DH330_4,10.9
SWW14306DH350_4,10.6
SWW14306DH360_4,10.75
SWW14306DH370_4,10.9
SWW14306DH380_4,10.9
SWW14306DH390_4,10.75
SWW14306DH400_4,10.82
SWW14306DH410_4,10.45
SWW14306DH420_4,10.82
SWW14306DH430_4,10.6
SWW14306DH440_4,10.3
SWW14306DH450_4,10.9
SWW14306DH460_4,11.64
SWW14306DH470_4,11.79
SWW14306DH480_4,11.12
SWW14306DH490_4,12.08
SWW14306DH500_4,10.6
SWW14306DH510_4,10.9
SWW14306DH530_4,12.31
SWW14306DH540_4,10.01
SWW14306DH550_4,10.75
SWW14306DH560_4,11.05
SWW14306DH570_4,10.75
SWW14306DH590_4,11.34
SWW14306DH600_4,11.05
SWW14306DH610_4,10.6
SWW14306DH830_4,11.56
SWW14306DH870_4,10.3
SWW14306DH880_4,10.3
SWW14306DH890_4,10.16
SWW14306DH910_4,11.42
SWW14306DH930_4,10.16
SWW14306DH950_4,9.79
SWW14306DH970_4,8.82
SWW14306DH980_4,10.45
SWW14306DH990_4,7.93
SWW14314DH10_4,10.75
SWW14314DH110_4,9.71
SWW14314DH120_4,9.41
SWW14314DH130_4,10.9
SWW14314DH140_4,12.01
SWW14314DH150_4,9.93
SWW14314DH160_4,11.49
SWW14314DH170_4,10.82
SWW14314DH20_4,11.42
SWW14314DH210_4,10.6
SWW14314DH220_4,11.64
SWW14314DH230_4,8.82
SWW14314DH240_4,11.05
SWW14314DH250_4,11.34
SWW14314DH260_4,11.27
SWW14314DH270_4,11.27
SWW14314DH280_4,11.71
SWW14314DH290_4,10.82
SWW14314DH30_4,11.27
SWW14314DH300_4,12.08
SWW14314DH310_4,11.71
SWW14314DH320_4,11.93
SWW14314DH340_4,9.71
SWW14314DH350_4,12.16
SWW14314DH360_4,11.42
SWW14314DH370_4,10.45
SWW14314DH530_4,10.3
SWW14314DH580_4,10.01
SWW14314DH600_4,10.82
SWW14314DH620_4,9.04
SWW14314DH640_4,10.9
SWW14314DH650_4,10.75
SWW14314DH660_4,10.01
SWW14314DH680_4,11.64
SWW14314DH690_4,10.82
SWW14314DH70_4,10.38
SWW14314DH700_4,11.12
SWW14314DH720_4,10.53
SWW14314DH80_4,8.97
SWW14314DH90_4,8.97
SWW14315DH10_4,9.86
SWW14315DH100_4,10.9
SWW14315DH110_4,11.05
SWW14315DH120_4,10.08
SWW14315DH130_4,11.12
SWW14315DH140_4,10.01
SWW14315DH150_4,11.34
SWW14315DH160_4,11.79
SWW14315DH180_4,11.27
SWW14315DH190_4,9.56
SWW14315DH20_4,9.79
SWW14315DH200_4,9.19
SWW14315DH210_4,8.08
SWW14315DH220_4,11.42
SWW14315DH230_4,10.01
SWW14315DH240_4,12.23
SWW14315DH250_4,11.05
SWW14315DH260_4,8.82
SWW14315DH270_4,10.82
SWW14315DH290_4,10.23
SWW14315DH30_4,9.27
SWW14315DH300_4,7.56
SWW14315DH310_4,11.79
SWW14315DH320_4,10.3
SWW14315DH330_4,11.49
SWW14315DH340_4,6.38
SWW14315DH360_4,12.23
SWW14315DH370_4,5.34
SWW14315DH380_4,10.53
SWW14315DH390_4,12.01
SWW14315DH40_4,5.71
SWW14315DH400_4,11.05
SWW14315DH420_4,11.49
SWW14315DH50_4,11.42
SWW14315DH60_4,12.45
SWW14315DH70_4,10.38
SWW14315DH80_4,11.12
SWW14315DH90_4,8.6
SWW14339DH10_4,6.45
SWW14339DH150_4,4.89
SWW14339DH20_4,3.71
SWW14339DH230_4,11.19
SWW14339DH30_4,5.78
SWW14339DH320_4,11.12
SWW14339DH390_4,11.05
SWW14339DH40_4,9.64
SWW14339DH420_4,11.56
SWW14339DH460_4,9.93
SWW14339DH480_4,10.82
SWW14339DH500_4,12.23
SWW14339DH510_4,7.26
SWW14339DH690_4,10.97
SWW14339DH740_4,10.97
SWW14339DH760_4,9.56
SWW14339DH800_4,12.01
SWW14339DH830_4,9.19
SWW14339DH840_4,7.71
SWW14339DH860_4,9.12
SWW14339DH870_4,11.05
SWW14339DH880_4,5.41
SWW14339DH920_4,11.79
SWW14378DH10_4,9.93
SWW14378DH110_4,11.34
SWW14378DH140_4,8.01
SWW14378DH150_4,8.97
SWW14378DH160_4,7.49
SWW14378DH170_4,4.82
SWW14378DH20_4,7.93
SWW14378DH200_4,12.53
SWW14378DH230_4,7.34
SWW14378DH240_4,9.04
SWW14378DH250_4,10.82
SWW14378DH270_4,8.75
SWW14378DH320_4,11.27
SWW14378DH330_4,8.52
SWW14378DH350_4,8.08
SWW14378DH370_4,10.97
SWW14378DH40_4,9.93
SWW14378DH400_4,6.3
SWW14378DH420_4,11.93
SWW14378DH480_4,2.89
SWW14378DH50_4,5.71
SWW14378DH500_4,5.86
SWW14378DH530_4,5.19
SWW14378DH570_4,9.27
SWW14378DH60_4,9.71
SWW14378DH80_4,10.45
SWW14378DH90_4,10.01
SWW14456DH10_4,9.71
SWW14456DH100_4,9.93
SWW14456DH130_4,6.67
SWW14456DH140_4,9.64
SWW14456DH170_4,10.97
SWW14456DH180_4,5.41
SWW14456DH200_4,8.52
SWW14456DH210_4,9.19
SWW14456DH230_4,12.08
SWW14456DH250_4,7.34
SWW14456DH270_4,10.3
SWW14456DH280_4,7.41
SWW14456DH300_4,10.75
SWW14456DH330_4,7.19
SWW14456DH340_4,8.23
SWW14456DH370_4,11.05
SWW14456DH420_4,7.64
SWW14456DH440_4,9.56
SWW14456DH450_4,7.26
SWW14456DH460_4,11.34
SWW14456DH500_4,5.19
SWW14456DH520_4,11.12
SWW14456DH540_4,10.38
SWW14456DH550_4,10.67
SWW14456DH570_4,11.49
SWW14456DH60_4,6.23
SWW14456DH600_4,10.16
SWW14456DH610_4,9.12
SWW14456DH620_4,8.75
SWW14456DH640_4,8.9
SWW14456DH700_4,9.93
SWW14456DH90_4,11.56
SWW14457DH10_4,9.86
SWW14457DH150_4,10.08
SWW14457DH160_4,11.42
SWW14457DH190_4,10.6
SWW14457DH20_4,11.05
SWW14457DH230_4,10.6
SWW14457DH240_4,10.53
SWW14457DH290_4,7.26
SWW14457DH300_4,7.64
SWW14457DH320_4,11.12
SWW14457DH330_4,11.05
SWW14457DH360_4,8.52
SWW14457DH380_4,9.64
SWW14457DH390_4,10.3
SWW14457DH400_4,10.08
SWW14457DH420_4,8.82
SWW14457DH430_4,9.34
SWW14457DH440_4,8.97
SWW14457DH470_4,10.82
SWW14457DH490_4,12.16
SWW14457DH50_4,9.56
SWW14457DH500_4,10.45
SWW14457DH520_4,10.23
SWW14457DH530_4,8.75
SWW14457DH570_4,8.23
SWW14457DH600_4,6.89
SWW14457DH640_4,8.75
SWW14457DH650_4,9.27
SWW14457DH660_4,8.75
SWW14457DH80_4,9.93
SWW14459DH100_4,9.86
SWW14459DH130_4,10.9
SWW14459DH160_4,11.42
SWW14459DH180_4,11.42
SWW14459DH190_4,11.93
SWW14459DH40_4,11.19
SWW14459DH50_4,10.23
SWW14459DH60_4,11.56
SWW14459DH80_4,11.34
SWW14460DH10_4,11.42
SWW14460DH100_4,9.86
SWW14460DH120_4,10.6
SWW14460DH130_4,10.23
SWW14460DH140_4,11.19
SWW14460DH160_4,10.16
SWW14460DH170_4,11.64
SWW14460DH180_4,11.42
SWW14460DH210_4,10.53
SWW14460DH220_4,10.01
SWW14460DH230_4,10.16
SWW14460DH240_4,10.45
SWW14460DH250_4,10.97
SWW14460DH260_4,11.42
SWW14460DH270_4,10.45
SWW14460DH290_4,10.9
SWW14460DH30_4,10.16
SWW14460DH310_4,11.05
SWW14460DH320_4,11.34
SWW14460DH330_4,11.19
SWW14460DH350_4,11.05
SWW14460DH360_4,11.12
SWW14460DH40_4,10.97
SWW14460DH50_4,10.6
SWW14460DH90_4,9.27
SWW14462DH10_4,9.93
SWW14462DH110_4,10.67
SWW14462DH120_4,7.78
SWW14462DH130_4,10.16
SWW14462DH140_4,7.12
SWW14462DH150_4,10.6
SWW14462DH160_4,10.01
SWW14462DH170_4,10.9
SWW14462DH180_4,10.53
SWW14462DH190_4,10.45
SWW14462DH20_4,5.71
SWW14462DH200_4,9.41
SWW14462DH210_4,10.3
SWW14462DH220_4,7.49
SWW14462DH230_4,10.75
SWW14462DH240_4,10.53
SWW14462DH250_4,10.9
SWW14462DH260_4,10.3
SWW14462DH270_4,7.86
SWW14462DH280_4,5.11
SWW14462DH290_4,10.97
SWW14462DH30_4,11.71
SWW14462DH300_4,10.01
SWW14462DH310_4,11.19
SWW14462DH320_4,4
SWW14462DH330_4,9.12
SWW14462DH340_4,7.64
SWW14462DH350_4,5.04
SWW14462DH360_4,10.01
SWW14462DH370_4,11.27
SWW14462DH380_4,11.05
SWW14462DH40_4,10.6
SWW14462DH400_4,10.16
SWW14462DH430_4,9.64
SWW14462DH50_4,10.75
SWW14462DH60_4,10.6
SWW14462DH70_4,10.23
SWW14462DH80_4,11.12
SWW14462DH90_4,10.75
SWW14463DH10_4,10.01
SWW14463DH120_4,7.78
SWW14463DH190_4,8.67
SWW14463DH200_4,9.27
SWW14478DH110_4,10.38
SWW14478DH190_4,10.08
SWW14478DH230_4,10.45
SWW14478DH240_4,10.16
SWW14478DH250_4,10.23
SWW14478DH270_4,10.53
SWW14478DH310_4,9.27
SWW14478DH70_4,8.08
SWW14479DH100_4,9.56
SWW14479DH110_4,8.75
SWW14479DH120_4,11.19
SWW14479DH130_4,10.38
SWW14479DH140_4,5.41
SWW14479DH180_4,9.34
SWW14479DH40_4,9.27
SWW14479DH50_4,11.19
SWW14479DH60_4,10.23
SWW14479DH90_4,9.56
SWW14496DH10_4,9.86
SWW14496DH100_4,10.82
SWW14496DH110_4,11.12
SWW14496DH120_4,9.79
SWW14496DH130_4,6
SWW14496DH140_4,9.34
SWW14496DH150_4,11.49
SWW14496DH160_4,8.08
SWW14496DH170_4,11.19
SWW14496DH180_4,4.08
SWW14496DH190_4,10.3
SWW14496DH20_4,9.71
SWW14496DH200_4,10.08
SWW14496DH210_4,9.19
SWW14496DH220_4,6.82
SWW14496DH230_4,11.93
SWW14496DH240_4,9.93
SWW14496DH250_4,10.16
SWW14496DH260_4,11.56
SWW14496DH270_4,11.19
SWW14496DH280_4,6.75
SWW14496DH290_4,11.05
SWW14496DH30_4,7.86
SWW14496DH300_4,10.67
SWW14496DH310_4,12.08
SWW14496DH320_4,10.6
SWW14496DH330_4,10.75
SWW14496DH340_4,10.53
SWW14496DH350_4,10.9
SWW14496DH360_4,11.93
SWW14496DH390_4,8.75
SWW14496DH410_4,12.01
SWW14496DH420_4,12.16
SWW14496DH430_4,11.79
SWW14496DH440_4,5.04
SWW14496DH450_4,10.53
SWW14496DH460_4,10.08
SWW14496DH470_4,12.31
SWW14496DH490_4,12.6
SWW14496DH50_4,8.6
SWW14496DH500_4,11.79
SWW14496DH510_4,9.49
SWW14496DH520_4,10.01
SWW14496DH530_4,9.64
SWW14496DH550_4,6.08
SWW14496DH60_4,10.08
SWW14496DH70_4,9.56
SWW14496DH90_4,10.9
SWW14497DH110_4,8.75
SWW14497DH120_4,10.16
SWW14497DH130_4,2.22
SWW14497DH140_4,5.63
SWW14497DH150_4,9.34
SWW14497DH160_4,9.27
SWW14497DH170_4,10.08
SWW14497DH190_4,8.45
SWW14497DH200_4,6.67
SWW14497DH210_4,9.86
SWW14497DH230_4,7.34
SWW14497DH240_4,9.34
SWW14497DH250_4,10.16
SWW14497DH260_4,10.75
SWW14497DH270_4,9.71
SWW14497DH290_4,6.89
SWW14497DH30_4,9.12
SWW14497DH300_4,11.34
SWW14497DH330_4,9.04
SWW14497DH340_4,5.78
SWW14497DH350_4,9.41
SWW14497DH370_4,8.97
SWW14497DH380_4,10.01
SWW14497DH390_4,8.75
SWW14497DH400_4,7.64
SWW14497DH410_4,10.45
SWW14497DH60_4,4.74
SWW14497DH90_4,10.82
SWW14498DH10_4,8.52
SWW14498DH100_4,8.45
SWW14498DH110_4,9.04
SWW14498DH120_4,7.78
SWW14498DH140_4,8.9
SWW14498DH180_4,7.93
SWW14498DH190_4,7.93
SWW14498DH20_4,11.42
SWW14498DH200_4,8.82
SWW14498DH230_4,9.71
SWW14498DH240_4,7.64
SWW14498DH250_4,7.26
SWW14498DH260_4,8.38
SWW14498DH270_4,10.23
SWW14498DH290_4,9.79
SWW14498DH30_4,9.27
SWW14498DH300_4,7.71
SWW14498DH310_4,5.86
SWW14498DH320_4,10.23
SWW14498DH330_4,6.3
SWW14498DH340_4,4.23
SWW14498DH350_4,10.01
SWW14498DH360_4,6
SWW14498DH370_4,5.19
SWW14498DH380_4,5.26
SWW14498DH390_4,10.75
SWW14498DH40_4,7.41
SWW14498DH400_4,5.71
SWW14498DH410_4,9.79
SWW14498DH420_4,6.15
SWW14498DH430_4,6.89
SWW14498DH450_4,7.56
SWW14498DH460_4,11.34
SWW14498DH470_4,11.42
SWW14498DH480_4,10.53
SWW14498DH490_4,11.56
SWW14498DH50_4,8.82
SWW14498DH510_4,8.38
SWW14498DH520_4,8.08
SWW14498DH530_4,8.23
SWW14498DH540_4,8.6
SWW14498DH550_4,8.67
SWW14498DH560_4,7.78
SWW14498DH570_4,11.64
SWW14498DH580_4,8.45
SWW14498DH590_4,7.64
SWW14498DH60_4,8.6
SWW14498DH600_4,8.15
SWW14498DH610_4,6.97
SWW14498DH620_4,8.3
SWW14498DH630_4,8.75
SWW14498DH640_4,11.05
SWW14498DH650_4,10.53
SWW14498DH660_4,6.89
SWW14498DH670_4,6.38
SWW14498DH680_4,8.82
SWW14498DH690_4,7.26
SWW14498DH70_4,10.01
SWW14498DH710_4,6.75
SWW14498DH720_4,7.34
SWW14498DH740_4,7.04
SWW14498DH750_4,7.26
SWW14498DH760_4,10.82
SWW14498DH770_4,6.38
SWW14498DH780_4,7.04
SWW14498DH790_4,7.26
SWW14498DH80_4,8.97
SWW14498DH800_4,7.12
SWW14498DH810_4,8.38
SWW14498DH820_4,8.38
SWW14498DH830_4,10.23
SWW14498DH840_4,9.12
SWW14498DH860_4,6.52
SWW14498DH870_4,7.04
SWW14498DH880_4,8.75
SWW14498DH90_4,8.45
